"","filename","act","act_number","docTitle","index","scene","scene_number","speaker","speaker_stage","spoke","stage","title","type","year"
"1","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 1",1,"Arv",NA,"Denne rejse vil nok have samme udfald som de forrige. Ridefogeden skikker mig til byen for at anholde om ting til gårdens fornødenhed, men når jeg kommer, kan jeg hverken få herren eller tjenerne i tale, thi nu er de på komedie, nu på maskerade, nu i assamblix og kvindeselskab; og når jeg endelig, som af en særdeles lykke, får fat på nogen af dem, får jeg ikke et klogt svar, helst af den fortvivlede skælm Henrik, hvilken stedse går med en fuld næse. Ak, ak! Når jeg tænker på hvorledes den gamle mand vil blive til mode når han engang fra sin udenlandsrejse kommer tilbage og vil finde sin søn at være forfalden til yderste liderlighed og se sit hus ødelagt. Men jeg ser at porten er i lås. Der må nok ingen endnu være opstået.",NA,"Husspøgelse",4,"(1753)"
"2","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 2",2,"Arv",NA,"Ak, ak! Jeg kan ikke mere. Jeg tror ikke at der i det hele land er sådan en fortvivlet skælm som denne Henrik. Ak, du ulyksalige Jeronimus, hvor vil du blive til mode når du ved din hjemkomst finder dit hus i sådan forvirrelse, din eneste søn at være forfalden til yderste liderlighed, dine midler skammeligt fordøjet og din gård på landet således forfalden at den ikke kan istandsættes igen. Men der ser jeg fogeden kommer. Jeg må fortælle ham hvad mig er hændt.",NA,"Husspøgelse",4,"(1753)"
"3","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 3",3,"Jesper",NA,"Arv, hvor bliver du så længe borte?",NA,"Husspøgelse",4,"(1753)"
"4","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 4",4,"Henrik",NA,"Hvad er her for alarm? Er det manér at banke så stærkt på fornemme døre?",NA,"Husspøgelse",4,"(1753)"
"5","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 5",5,"Ephraim",NA,"Man muss længe löpen ehr man hier sine penge kriegen.",NA,"Husspøgelse",4,"(1753)"
"6","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",3,"Scene 6",6,"Leander",NA,"Ej, bi dog, monfrere. Du må endnu have et glas førend du går.",NA,"Husspøgelse",4,"(1753)"
"7","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 7",7,"Leander",NA,"Henrik, hvad udfald mener du dog dette vil få når min far kommer engang hjem, og han får ende på sin proces derude?",NA,"Husspøgelse",4,"(1753)"
"8","Abracadabra_mod.jsonl","Første akt",1,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 8",8,"Octavius",NA,"Ved du hvad, monfrere? Nu talte jeg en passant med jomfru Helene og Lucretia. De lovede begge at ville besøge dig i eftermiddag.",NA,"Husspøgelse",4,"(1753)"
"9","Abracadabra_mod.jsonl","Anden akt",2,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",1,"Scene 1",1,"Henrik",NA,"Nu er helvede blevet løst, og alle ulykker har forenet sig sammen for at gribe mig an. Intet kan nu hjælpe mig mere. Om øvrigheden ville redde mig, så kan den ikke. Ak, jeg elendige menneske. Vil ingen af jer, I godtfolk, låne mig jeres ryg kun på et par timers tid. Dog, hvad siger jeg? Én ryg vil ikke forslå. Jeg har intet mere nødigt end at købe mig en strikke hvormed jeg kan hænge mig selv for at undgå en mere pinagtig død som jeg har fortjent. Hvis nogen vil sælge mig en god strikke, skal han straks få rede penge derfor. Men jeg må straks kalde på monsieur Leander og Octavius for at forkynde dem den forestående ulykke. Nu sidder de i spil og drik op til ørene, men lysten vil snart forgå dem.",NA,"Husspøgelse",4,"(1753)"
"10","Abracadabra_mod.jsonl","Anden akt",2,"Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",2,"Scene 2",2,"Henrik",NA,"Herre!",NA,"Husspøgelse",4,"(1753)"
