"","act","act_number","docTitle","index","scene","scene_number","speaker","speaker_stage","spoke","stage","title","type","year"
"1","Første akt",1,"Barselsstuen Komedie",1,"Scene 1",1,"Troels","( tager op et stykke smalt papir men så langt som det hele theatrum)",NA,NA,"Barselsstuen",3,"(1724)"
"2","Første akt",1,"Barselsstuen Komedie",2,"Scene 1",1,"Troels",NA,"Maren Hansdatter, Barbara Per Nielsens, Abelone Hans Hansens, Christine Erik Eriksens, Engelke Jens Hattemagers, Lusse Frands Buntmagers, Vibeke Per Guldbrandsens, Maren Christopher Skrædders, Elsebeth David Skolemesters, Ellen Frue Kantors, Malene Frue Vagtmesters, Geske Klokkers, Anne Per Kandestøbers, Maren Jens Rodemesters, Ingeborg Morten Blytækkers, Dorthe salig Jochum Knapmagers, Grete Isenkræmmers, Mette Kvindeskrædderske, Nille Mogens Andersens, Øllegård Sværdfegers, Karen Urmagers, Maren Knivsmeds, Dyveke Posekiggers, excetra, excetra, excetra, excetra, excetra, excetra, excetra, en ditto, nok en ditto, nok en ditto, summa summe summarum 93 koner findes på denne liste. I lige så mange huse har jeg måttet løbe i disse dage for at lade hele byen vide det store mirakel som er sket, at vor mor er blevet forløst med en ung datter, et stort mirakel, hvorfor hele byen skal bringes i harnisk ligesom fjenden var uden for volden og ville løbe storm. Jeg ville obligere mig til at gøre et halvt hundrede slige børn om året, større mirakler er det ikke, men folk er deri som i alt andet.",NA,"Barselsstuen",4,"(1724)"
"3","Første akt",1,"Barselsstuen Komedie",3,"Scene 1",1,"Troels",NA,"Skal man giftes, må der lige så mange folk komme sammen for at æde og drikke op mere end en stakkels håndværksmand kan fortjene i fire år igen. Derfor har man hittet på den mode i gamle dage at den halve by skal ofre og give brudegave; thi ellers måtte en stor del danse lige fra brylluppet til slutteriet. Nu såsom folk bli’r mere og mere fattige, så bli’r de óg mere og mere storagtige og vil ingen brudegave have, så det er aleneste tjenestefolk man ofrer til i vore dage, hvilket går til på sådan måde: Man byder folk til bryllup som venner, man takker for den ære og venskab, det er smukt og høfligt nok, men når jeg nøje eftertænker det, hedder det således: “Såsom vores stue- eller kokkepige har besluttet at skille sig ved sin mødom i morgen aften, og det samme ikke kan ske uden stor alarm, uden vi æder, drikker og danser helsen bort, så er vor tjenstlige begæring at I vil gøre os den ære at betale omkostningerne og derforuden unde en hyrekusk en dalers penge eller to”, hvorpå de inviterede folk svarer: “Vi takker for den store høflighed, vi skal betale omkostningerne, ønsker at være så lykkelige at tjene Dem igen.” Således går til når bryllup skal holdes, hvor, når man i trende timer har skrålet over bordet på Pers og Pouls skål, som sidder et hundrede skridt fra hinanden, man skal danse om natten indtil man af støv og mattighed bliver så elendig at man må give spillemanden penge for at holde op igen, og gå hjem for at medicinere 3 dage derefter.",NA,"Barselsstuen",4,"(1724)"
"4","Første akt",1,"Barselsstuen Komedie",4,"Scene 1",1,"Troels",NA,"Vil jeg begive mig fra bryllupper til begravelser, da finder jeg lige så megen galskab ved de sidste som ved de første. En stakkels kone mister sin mand, som jeg sætter efterlader hende nogle skillinger som hun ved forsynlighed kunne leve af. Fornuften siger hun skal konservere dem, men moden siger hun skal give sin mand en hæderlig begravelse. Det er at sige på andet dansk: Hun skal udstaffere det døde legeme, betrække alle vægge, stole, stuepiger, kokkepiger, ammer, kusken, heste, med tiden skal vel skødehunde overtrækkes også. Med ét ord: Hun skal gøre sådan en hæderlig begravelse at hun har intet tilbage at føre et hæderligt levned med. Det er ej nok at hun mister sin mand med sin velfærd. Moden siger hun óg skal ligge 6 uger på sin seng og høre de ord 6 gange 6 repeteres hver time: “Hendes sorg gør mig ondt, madame”, så at, omendskønt hun som en god kristen har sat sig for at bære sin sorg med tålmodighed, så tilsteder dog moden hende ikke sådant. Det kommer mig for ligesom én der har fået et sår på sin hånd, hvilket hun efter moden må lade sine bedste venner vide at de vil gøre hende den ære en efter anden at rive plasteret af igen. Så kommer da en efter anden trippende og for at lade se deres venskab river plasteret af hånden, hvorfor man må takke dem, ja give dem te og kaffe oven i købet; men de skulle have fanden om jeg var enkekone!",NA,"Barselsstuen",4,"(1724)"
"5","Første akt",1,"Barselsstuen Komedie",5,"Scene 1",1,"Troels",NA,"Men disse barselsstuer er rent ravgale. Her skal først et hundrede mennesker gives til kende som et stort vidunder at Hans Hansen eller Jespersen har gjort det mesterstykke ved sin kone som enhver bonde på Amager kan gøre ham efter, og skaffet hende, enten ved sig selv eller i det ringeste ved en anden, en søn eller en datter, til hvilket vidunder at se de skal komme derhen og tilligemed dræbe den syge barselkone med gratulationer og snak og hindre at patienten ikke skal blive så hastigt frisk som hun ellers kunnet blive hvis hun havde kunnet ligge i ro ...",NA,"Barselsstuen",4,"(1724)"
"6","Første akt",1,"Barselsstuen Komedie",6,"Scene 1",1,"Troels",NA,"Men hvem pokker er det som kommer så løbende? Det er Christophersens karl. Hvad mon han vil?",NA,"Barselsstuen",4,"(1724)"
"7","Første akt",1,"Barselsstuen Komedie",1,"Scene 2",2,NA,NA,NA,"Claus, Troels","Barselsstuen",1,"(1724)"
"8","Første akt",1,"Barselsstuen Komedie",2,"Scene 2",2,"Claus",NA,"Ak, kære Troels, veksl mig en toskilling for to eneste skillinger!",NA,"Barselsstuen",4,"(1724)"
"9","Første akt",1,"Barselsstuen Komedie",3,"Scene 2",2,"Troels",NA,"Hvad vil du med de eneste skillinger?",NA,"Barselsstuen",4,"(1724)"
"10","Første akt",1,"Barselsstuen Komedie",4,"Scene 2",2,"Claus",NA,"Jeg vil give en for at komme op i det runde tårn.",NA,"Barselsstuen",4,"(1724)"
